timestamp,day_type
2023-11-19,Week Day & Change Holiday
2023-11-20,Work Day
2023-11-21,Work Day
2023-11-22,Work Day
2023-11-23,Work Day
2023-11-24,Work Day
2023-11-25,Week Day & Change Holiday
2023-11-26,Week Day & Change Holiday
2023-11-27,Work Day
2023-11-28,Work Day
2023-11-29,Work Day
2023-11-30,Work Day
2023-12-01,Work Day
2023-12-02,Week Day & Change Holiday
2023-12-03,Week Day & Change Holiday
2023-12-04,Work Day
2023-12-05,Work Day
2023-12-06,Work Day
2023-12-07,Work Day
2023-12-08,Work Day
2023-12-09,Week Day & Change Holiday
2023-12-10,Week Day & Change Holiday
2023-12-11,Work Day
2023-12-12,双12
2023-12-13,Work Day
2023-12-14,Work Day
2023-12-15,Work Day
2023-12-16,Week Day & Change Holiday
2023-12-17,Week Day & Change Holiday
2023-12-18,Work Day
2023-12-19,Work Day
2023-12-20,Work Day
2023-12-21,Work Day
2023-12-22,Work Day
2023-12-23,Week Day & Change Holiday
2023-12-24,Week Day & Change Holiday
2023-12-25,Work Day
2023-12-26,Work Day
2023-12-27,Work Day
2023-12-28,Work Day
2023-12-29,Work Day
2023-12-30,Week Day & Change Holiday
2023-12-31,Week Day & Change Holiday
2024-01-01,New Year's Day
2024-01-02,Work Day
2024-01-03,Work Day
2024-01-04,Work Day
2024-01-05,Work Day
2024-01-06,Week Day & Change Holiday
2024-01-07,Week Day & Change Holiday
2024-01-08,Work Day
2024-01-09,Work Day
2024-01-10,Work Day
2024-01-11,Work Day
2024-01-12,Work Day
2024-01-13,Week Day & Change Holiday
2024-01-14,Week Day & Change Holiday
2024-01-15,Work Day
2024-01-16,Work Day
2024-01-17,Work Day
2024-01-18,Work Day
2024-01-19,Work Day
2024-01-20,Week Day & Change Holiday
2024-01-21,Week Day & Change Holiday
2024-01-22,Work Day
2024-01-23,Work Day
2024-01-24,Work Day
2024-01-25,Work Day
2024-01-26,Work Day
2024-01-27,Week Day & Change Holiday
2024-01-28,Week Day & Change Holiday
2024-01-29,Work Day
2024-01-30,Work Day
2024-01-31,Work Day
2024-02-01,Work Day
2024-02-02,Work Day
2024-02-03,Week Day & Change Holiday
2024-02-04,Work Day
2024-02-05,Work Day
2024-02-06,Work Day
2024-02-07,Work Day
2024-02-08,Work Day
2024-02-09,Work Day
2024-02-10,Spring Festival
2024-02-11,Spring Festival
2024-02-12,Spring Festival
2024-02-13,Spring Festival
2024-02-14,Spring Festival
2024-02-15,Spring Festival
2024-02-16,Spring Festival
2024-02-17,Spring Festival
2024-02-18,Work Day
2024-02-19,Work Day
2024-02-20,Work Day
2024-02-21,Work Day
2024-02-22,Work Day
2024-02-23,Work Day
2024-02-24,Week Day & Change Holiday
2024-02-25,Week Day & Change Holiday
2024-02-26,Work Day
2024-02-27,Work Day
