timestamp,系统负荷,联络线,风电,光伏
2023-09-05 00:30:00,59028.27,14102.0,1320.92,0.0
2023-09-05 00:45:00,58680.03,14101.0,1285.49,0.0
2023-09-05 01:00:00,58297.92,14103.0,1251.84,0.0
2023-09-05 01:15:00,58058.12,14103.0,1220.97,0.0
2023-09-05 01:30:00,57715.35,14103.0,1189.37,0.0
2023-09-05 01:45:00,57423.04,14103.0,1160.22,0.0
2023-09-05 02:00:00,57296.2,14103.0,1134.21,0.0
2023-09-05 02:15:00,57098.98,14103.0,1110.83,0.0
2023-09-05 02:30:00,56957.24,14103.0,1088.14,0.0
2023-09-05 02:45:00,56791.65,14103.0,1067.72,0.0
2023-09-05 03:00:00,56614.05,14103.0,1052.76,0.0
2023-09-05 03:15:00,56412.86,14103.0,1040.92,0.0
2023-09-05 03:30:00,56284.46,14103.0,1031.92,0.0
2023-09-05 03:45:00,56374.26,14103.0,1025.45,0.0
2023-09-05 04:00:00,56686.43,14103.0,1029.86,0.0
2023-09-05 04:15:00,56975.75,14103.0,1038.74,0.0
2023-09-05 04:30:00,57578.45,14103.0,1046.09,0.0
2023-09-05 04:45:00,58133.04,14103.0,1053.28,0.02
2023-09-05 05:00:00,58813.41,14103.0,1043.5,0.41
2023-09-05 05:15:00,59976.56,14976.0,1043.25,1.05
2023-09-05 05:30:00,60882.26,15849.0,1043.89,25.01
2023-09-05 05:45:00,61835.21,16727.0,1021.3,119.68
2023-09-05 06:00:00,62735.5,17612.0,1014.31,327.19
2023-09-05 06:15:00,63022.34,17615.0,998.66,626.56
2023-09-05 06:30:00,62768.75,17618.0,987.0,1005.66
2023-09-05 06:45:00,62228.69,17621.0,972.41,1456.49
2023-09-05 07:00:00,61980.22,17994.0,951.85,1983.92
2023-09-05 07:15:00,62219.52,18381.0,923.51,2571.33
2023-09-05 07:30:00,62950.71,18763.0,894.69,3195.5
2023-09-05 07:45:00,63727.71,19158.0,863.62,3825.03
2023-09-05 08:00:00,63753.0,19373.0,855.68,4443.72
2023-09-05 08:15:00,63913.88,19449.0,853.69,5051.99
2023-09-05 08:30:00,63946.92,19525.0,854.14,5622.76
2023-09-05 08:45:00,64026.16,19620.0,856.07,6160.34
2023-09-05 09:00:00,63490.09,19478.0,874.14,6603.13
2023-09-05 09:15:00,63779.95,19486.0,894.76,7045.65
2023-09-05 09:30:00,63876.88,19493.0,916.51,7434.62
2023-09-05 09:45:00,64181.42,19500.0,939.13,7789.04
2023-09-05 10:00:00,64492.19,19507.0,965.07,8096.71
2023-09-05 10:15:00,64680.0,18442.0,998.97,8344.41
2023-09-05 10:30:00,64931.98,17378.0,1032.36,8566.43
2023-09-05 10:45:00,65197.76,16313.0,1067.31,8721.42
2023-09-05 11:00:00,65668.53,15027.0,1100.81,8883.02
2023-09-05 11:15:00,63981.54,14817.0,1136.26,8957.86
2023-09-05 11:30:00,62904.96,14607.0,1172.05,8999.24
2023-09-05 11:45:00,61602.64,14377.0,1209.34,9004.26
2023-09-05 12:00:00,61327.31,14379.0,1245.78,8981.42
